episode,global_steps,score,avg_score,epsilon
114,5865,1,2.25,0.1
115,5898,0,2.25,0.1
116,5926,0,2.25,0.1
117,5956,0,2.19,0.1
118,5986,0,2.07,0.1
119,6014,1,2.02,0.1
120,6054,1,2.03,0.1
121,6078,1,1.97,0.1
122,6115,0,1.96,0.1
123,6143,0,1.96,0.1
124,6181,0,1.89,0.1
125,6215,0,1.89,0.1
126,6244,0,1.88,0.1
127,6313,9,1.98,0.1
128,6371,4,2.03,0.1
129,6406,0,1.97,0.1
130,6488,12,2.1,0.1
131,6516,0,2.09,0.1
132,6543,0,2.08,0.1
133,6579,3,1.98,0.1
134,6606,1,1.98,0.1
135,6683,12,2.1,0.1
136,6753,4,2.15,0.1
137,6791,5,2.15,0.1
138,6812,0,2.14,0.1
139,6863,1,2.11,0.1
140,6917,6,2.11,0.1
141,6947,1,2.11,0.1
142,6974,1,2.11,0.1
143,7001,0,2.11,0.1
144,7093,14,2.25,0.1
145,7121,1,2.25,0.1
146,7145,1,2.27,0.1
147,7191,6,2.32,0.1
148,7263,9,2.42,0.1
149,7313,1,2.42,0.1
150,7358,7,2.5,0.1
151,7385,1,2.5,0.1
152,7478,14,2.59,0.1
153,7522,4,2.61,0.1
154,7609,13,2.71,0.1
155,7633,1,2.73,0.1
156,7737,14,2.85,0.1
157,7757,0,2.83,0.1
158,7789,1,2.81,0.1
159,7813,1,2.79,0.1
160,7837,0,2.72,0.1
161,7912,11,2.83,0.1
162,7999,14,2.9,0.1
163,8058,7,2.87,0.1
164,8188,21,3.06,0.1
165,8219,1,3.07,0.1
166,8309,4,3.09,0.1
167,8337,2,3.1,0.1
168,8431,13,3.21,0.1
169,8451,0,3.2,0.1
170,8481,1,3.14,0.1
171,8570,14,3.26,0.1
172,8598,1,3.25,0.1
173,8673,11,3.3,0.1
174,8718,6,3.36,0.1
175,8744,1,3.32,0.1
176,8861,12,3.41,0.1
177,8891,2,3.39,0.1
178,8955,9,3.48,0.1
179,8983,1,3.48,0.1
180,9011,1,3.45,0.1
181,9079,7,3.5,0.1
182,9108,2,3.51,0.1
183,9246,23,3.7,0.1
184,9294,6,3.75,0.1
185,9423,22,3.94,0.1
186,9518,13,4.07,0.1
187,9603,12,4.14,0.1
188,9628,0,4.14,0.1
189,9654,1,4.15,0.1
190,9678,1,4.16,0.1
191,9772,6,4.2,0.1
192,9863,14,4.34,0.1
193,9960,12,4.43,0.1
194,9999,1,4.43,0.1
195,10033,1,4.4,0.1
196,10117,14,4.52,0.1
197,10241,12,4.57,0.1
198,10313,9,4.61,0.1
199,10405,14,4.74,0.1
200,10554,26,4.99,0.1
201,10581,1,4.98,0.1
202,10668,7,4.98,0.1
203,10702,1,4.98,0.1
204,10730,1,4.97,0.1
205,10766,1,4.98,0.1
206,10897,18,5.16,0.1
207,11048,24,5.39,0.1
208,11073,1,5.4,0.1
209,11225,21,5.61,0.1
210,11251,1,5.62,0.1
211,11281,1,5.63,0.1
212,11351,10,5.73,0.1
213,11377,1,5.67,0.1
214,11538,23,5.89,0.1
215,11682,23,6.12,0.1
216,11785,14,6.26,0.1
217,11926,21,6.47,0.1
218,12047,16,6.63,0.1
219,12187,22,6.84,0.1
220,12228,1,6.84,0.1
221,12366,22,7.05,0.1
222,12504,21,7.26,0.1
223,12635,21,7.47,0.1
224,12755,18,7.65,0.1
225,12901,23,7.88,0.1
226,13043,22,8.1,0.1
227,13139,14,8.15,0.1
228,13285,21,8.32,0.1
229,13348,8,8.4,0.1
230,13478,21,8.49,0.1
231,13603,20,8.69,0.1
232,13730,21,8.9,0.1
233,13766,0,8.87,0.1
234,13926,23,9.09,0.1
235,14056,20,9.17,0.1
236,14194,23,9.36,0.1
237,14329,21,9.52,0.1
238,14439,14,9.66,0.1
239,14578,21,9.86,0.1
240,14732,23,10.03,0.1
241,14890,23,10.25,0.1
242,15042,23,10.47,0.1
243,15219,21,10.68,0.1
244,15336,17,10.71,0.1
245,15492,24,10.94,0.1
246,15642,24,11.17,0.1
247,15780,21,11.32,0.1
248,15940,21,11.44,0.1
249,16088,24,11.67,0.1
250,16252,23,11.83,0.1
251,16308,7,11.89,0.1
252,16449,22,11.97,0.1
253,16593,24,12.17,0.1
254,16717,20,12.24,0.1
255,16872,21,12.44,0.1
256,17006,22,12.52,0.1
257,17134,21,12.73,0.1
258,17267,22,12.94,0.1
259,17324,8,13.01,0.1
260,17449,21,13.22,0.1
261,17472,0,13.11,0.1
262,17496,-1,12.96,0.1
263,17567,7,12.96,0.1
264,17693,21,12.96,0.1
265,17778,13,13.08,0.1
266,17826,0,13.04,0.1
267,17927,0,13.02,0.1
268,18049,20,13.09,0.1
269,18174,21,13.3,0.1
270,18298,22,13.51,0.1
271,18437,23,13.6,0.1
272,18495,-1,13.58,0.1
273,18622,22,13.69,0.1
274,18750,22,13.85,0.1
275,18859,18,14.02,0.1
276,18955,14,14.04,0.1
277,19004,7,14.09,0.1
278,19093,14,14.14,0.1
279,19219,21,14.34,0.1
280,19346,21,14.54,0.1
281,19479,21,14.68,0.1
282,19598,19,14.85,0.1
283,19724,21,14.83,0.1
284,19831,17,14.94,0.1
285,19954,21,14.93,0.1
286,20094,24,15.04,0.1
287,20235,24,15.16,0.1
288,20361,21,15.37,0.1
289,20482,20,15.56,0.1
290,20607,21,15.76,0.1
291,20731,21,15.91,0.1
292,20819,14,15.91,0.1
293,20943,21,16.0,0.1
294,20967,0,15.99,0.1
295,21092,21,16.19,0.1
296,21213,20,16.25,0.1
297,21339,21,16.34,0.1
298,21464,21,16.46,0.1
299,21591,21,16.53,0.1
300,21717,21,16.48,0.1
301,21846,22,16.69,0.1
302,21971,21,16.83,0.1
303,22081,18,17.0,0.1
304,22138,8,17.07,0.1
305,22260,21,17.27,0.1
306,22385,21,17.3,0.1
307,22510,21,17.27,0.1
308,22633,21,17.47,0.1
309,22757,21,17.47,0.1
310,22881,21,17.67,0.1
311,23006,21,17.87,0.1
312,23141,23,18.0,0.1
313,23264,21,18.2,0.1
314,23375,18,18.15,0.1
315,23498,21,18.13,0.1
316,23623,21,18.2,0.1
317,23746,21,18.2,0.1
318,23874,22,18.26,0.1
319,24000,21,18.25,0.1
320,24123,22,18.46,0.1
321,24247,21,18.45,0.1
322,24333,14,18.38,0.1
323,24459,21,18.38,0.1
324,24584,21,18.41,0.1
325,24716,22,18.4,0.1
326,24787,8,18.26,0.1
327,24911,21,18.33,0.1
328,25036,22,18.34,0.1
329,25159,21,18.47,0.1
330,25289,22,18.48,0.1
331,25416,22,18.5,0.1
332,25542,22,18.51,0.1
333,25666,22,18.73,0.1
334,25792,21,18.71,0.1
335,25888,15,18.66,0.1
336,26014,21,18.64,0.1
337,26138,21,18.64,0.1
338,26268,21,18.71,0.1
339,26395,22,18.72,0.1
340,26520,20,18.69,0.1
341,26643,20,18.66,0.1
342,26767,21,18.64,0.1
343,26877,16,18.59,0.1
344,27003,21,18.63,0.1
345,27131,20,18.59,0.1
346,27270,21,18.56,0.1
347,27395,20,18.55,0.1
348,27479,13,18.47,0.1
349,27609,22,18.45,0.1
350,27741,21,18.43,0.1
351,27863,20,18.56,0.1
352,27885,0,18.34,0.1
353,27994,18,18.28,0.1
354,28119,21,18.29,0.1
355,28214,14,18.22,0.1
356,28341,21,18.21,0.1
357,28476,23,18.23,0.1
358,28602,22,18.23,0.1
359,28726,19,18.34,0.1
360,28852,22,18.35,0.1
361,28962,18,18.53,0.1
362,29098,23,18.77,0.1
363,29130,3,18.73,0.1
364,29211,12,18.64,0.1
365,29337,22,18.73,0.1
366,29445,18,18.91,0.1
367,29574,22,19.13,0.1
368,29698,21,19.14,0.1
369,29729,3,18.96,0.1
370,29854,21,18.95,0.1
371,29984,22,18.94,0.1
372,30111,22,19.17,0.1
373,30240,22,19.17,0.1
374,30341,16,19.11,0.1
375,30466,22,19.15,0.1
376,30596,22,19.23,0.1
377,30718,21,19.37,0.1
378,30840,20,19.43,0.1
379,30972,22,19.44,0.1
380,31079,18,19.41,0.1
381,31204,20,19.4,0.1
382,31344,23,19.44,0.1
383,31468,21,19.44,0.1
384,31596,22,19.49,0.1
385,31720,21,19.49,0.1
386,31783,9,19.34,0.1
387,31913,22,19.32,0.1
388,32040,21,19.32,0.1
389,32147,18,19.3,0.1
390,32271,22,19.31,0.1
391,32391,20,19.3,0.1
392,32490,15,19.31,0.1
393,32617,22,19.32,0.1
394,32738,20,19.52,0.1
395,32860,20,19.51,0.1
396,32959,15,19.46,0.1
397,33083,22,19.47,0.1
398,33211,22,19.48,0.1
399,33334,21,19.48,0.1
400,33472,23,19.5,0.1
401,33580,18,19.46,0.1
402,33711,21,19.46,0.1
403,33836,22,19.5,0.1
404,33963,22,19.64,0.1
405,34088,22,19.65,0.1
406,34215,22,19.66,0.1
407,34340,21,19.66,0.1
408,34466,21,19.66,0.1
409,34573,17,19.62,0.1
410,34700,22,19.63,0.1
411,34827,21,19.63,0.1
412,34946,19,19.59,0.1
413,35069,21,19.59,0.1
414,35198,22,19.63,0.1
415,35296,15,19.57,0.1
416,35420,21,19.57,0.1
417,35563,23,19.59,0.1
418,35703,23,19.6,0.1
419,35828,22,19.61,0.1
420,35966,23,19.62,0.1
421,36091,22,19.63,0.1
422,36216,22,19.71,0.1
423,36342,22,19.72,0.1
424,36468,21,19.72,0.1
425,36592,21,19.71,0.1
